Pair,Sector,Beta,Window,Capital,WF_Acc,Train_Acc,Trades,Net_PnL,Return%,EndValue,TxnCost,Sharpe,MaxDD,MaxDD_Days,Calmar,VaR95,HitRate,ProfitFactor,AnnRet
AJANTPHARM.NS/FORTIS.NS,Pharma,4.8493,40,1250000.0,0.7493,0.8803,35,1539754.26,123.18,2789754.26,121875.0,0.274,-1583686.11,310,0.248,-142094.52,0.2928,1.062,393128.75
PRESTIGE.NS/BRIGADE.NS,RealEstate,1.6927,40,1250000.0,0.6155,0.8746,50,918796.39,73.5,2168796.39,184375.0,0.364,-964502.68,281,0.243,-62067.6,0.4073,1.066,234586.31
HEROMOTOCO.NS/BHARATFORG.NS,Auto,2.3692,40,1250000.0,0.7804,0.8797,40,732644.42,58.61,1982644.42,146875.0,0.247,-755974.01,378,0.247,-73534.08,0.3961,1.05,187058.15
PETRONET.NS/MGL.NS,Oil_Gas,0.1851,100,1250000.0,0.6208,0.9179,38,434796.62,34.78,1684796.62,131250.0,0.407,-372512.76,380,0.298,-25507.53,0.3627,1.09,111011.9
PETRONET.NS/BAJAJ-AUTO.NS,Oil_Gas×Auto,0.1129,100,1250000.0,0.6405,0.9044,33,414648.97,33.17,1664648.97,103125.0,0.469,-434722.21,341,0.244,-19864.1,0.2573,1.118,105867.82
DLF.NS/PRESTIGE.NS,RealEstate,0.5585,80,1250000.0,0.7296,0.8996,24,293122.85,23.45,1543122.85,75000.0,0.3,-321050.55,508,0.233,-25931.38,0.2452,1.075,74839.88
TECHM.NS/MPHASIS.NS,IT,0.4622,80,1250000.0,0.8008,0.9258,27,162996.31,13.04,1412996.31,87500.0,0.193,-376983.81,506,0.11,-21449.99,0.3161,1.043,41616.08
TECHM.NS/LTTS.NS,IT,0.3273,80,1250000.0,0.7826,0.9066,30,-160037.39,-12.8,1089962.61,96875.0,-0.184,-775071.71,661,-0.053,-24548.11,0.2969,0.961,-40860.61
