Pair,Sector,Date,Position,Spread,ZScore,PnL_Net,Cum_PnL,Value
TECHM.NS/MPHASIS.NS,IT,2022-01-24,-1.0,69.39860257892178,0.5385398988993197,48310.959950668526,116395.18450443575,1366395.1845044359
TECHM.NS/MPHASIS.NS,IT,2022-01-25,-1.0,11.411289413990744,-0.046275846002550095,32890.079977765716,149285.26448220146,1399285.2644822015
TECHM.NS/MPHASIS.NS,IT,2022-01-27,-1.0,17.59043891520355,0.0010247832525800728,21618.845793354696,170904.11027555616,1420904.110275556
TECHM.NS/MPHASIS.NS,IT,2022-01-28,-1.0,-55.445195904012735,-0.7373812498409609,50955.52385777171,221859.63413332787,1471859.6341333278
TECHM.NS/MPHASIS.NS,IT,2022-01-31,-1.0,-25.14499333464073,-0.44751689630581254,-47792.16575473263,174067.46837859525,1424067.4683785953
TECHM.NS/MPHASIS.NS,IT,2022-02-01,-1.0,-19.116701234440598,-0.4035827248155158,-15085.285456403657,158982.1829221916,1408982.1829221917
TECHM.NS/MPHASIS.NS,IT,2022-02-02,-1.0,-30.528651043810214,-0.5386688798743323,15393.427463468417,174375.61038566002,1424375.61038566
TECHM.NS/MPHASIS.NS,IT,2022-02-03,-1.0,-7.886510311828943,-0.32437375237412736,3101.2607403322527,177476.87112599227,1427476.8711259924
TECHM.NS/MPHASIS.NS,IT,2022-02-04,-1.0,-28.75921293479223,-0.5590683871096288,12546.74181134295,190023.61293733522,1440023.6129373352
TECHM.NS/MPHASIS.NS,IT,2022-02-07,-1.0,-19.93417833396893,-0.4881915316688355,-2208.7649633220703,187814.84797401316,1437814.847974013
TECHM.NS/MPHASIS.NS,IT,2022-02-08,-1.0,-11.693122177728128,-0.4181625938758208,942.508103091138,188757.35607710428,1438757.3560771043
TECHM.NS/MPHASIS.NS,IT,2022-02-09,-1.0,-14.260380657481164,-0.4740305564290497,-8527.81986204993,180229.53621505437,1430229.5362150543
TECHM.NS/MPHASIS.NS,IT,2022-02-10,-1.0,-35.55722207446138,-0.7411772295147174,3462.1089184068983,183691.64513346125,1433691.6451334613
TECHM.NS/MPHASIS.NS,IT,2022-02-11,-1.0,-27.8025164334274,-0.6936804886479657,16939.46221688658,200631.10735034783,1450631.1073503478
TECHM.NS/MPHASIS.NS,IT,2022-02-14,-1.0,-15.423655233233148,-0.5793965460981335,10928.69287200899,211559.8002223568,1461559.8002223568
TECHM.NS/MPHASIS.NS,IT,2022-02-15,0.0,-12.13680205156379,-0.5670046614997116,-28917.710739896687,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-16,0.0,-6.406918390633791,-0.5099873423303956,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-17,0.0,-11.882570907824856,-0.5839722688030328,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-18,0.0,-25.136104394438235,-0.7481148010623303,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-21,0.0,-59.587528471804035,-1.1774387703638045,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-22,0.0,-88.0506490127068,-1.5175316466313122,-0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-23,0.0,-81.66676833069687,-1.4436654451243651,0.0,182642.0894824601,1432642.0894824602
TECHM.NS/MPHASIS.NS,IT,2022-02-24,0.0,-85.33343566400549,-1.4912401322607982,-0.0,182642.0894824601,1432642.0894824602
